majorTitle,catalogYear,courseCode,prefix,courseTypeId
Computer Science (B.S),2021-2022,1001,CSCE,2
Computer Science (B.S),2021-2022,1101,CSCE,2
Computer Science (B.S),2021-2022,1102,CSCE,2
Computer Science (B.S),2021-2022,2202,CSCE,2
Computer Science (B.S),2021-2022,2203,CSCE,2
Computer Science (B.S),2021-2022,2301,CSCE,2
Computer Science (B.S),2021-2022,2302,CSCE,2
Computer Science (B.S),2021-2022,2303,CSCE,2
Computer Science (B.S),2021-2022,2501,CSCE,2
Computer Science (B.S),2021-2022,3104,CSCE,2
Computer Science (B.S),2021-2022,3301,CSCE,2
Computer Science (B.S),2021-2022,3302,CSCE,2
Computer Science (B.S),2021-2022,3401,CSCE,2
Computer Science (B.S),2021-2022,3402,CSCE,2
Computer Science (B.S),2021-2022,3701,CSCE,2
Computer Science (B.S),2021-2022,4101,CSCE,2
Computer Science (B.S),2021-2022,4201,CSCE,2
Computer Science (B.S),2021-2022,4950,CSCE,2
Computer Science (B.S),2021-2022,4980,CSCE,2
Computer Science (B.S),2021-2022,4981,CSCE,2
Computer Science (B.S),2021-2022,3101,CSCE,3
Computer Science (B.S),2021-2022,3102,CSCE,3
Computer Science (B.S),2021-2022,3103,CSCE,3
Computer Science (B.S),2021-2022,3303,CSCE,3
Computer Science (B.S),2021-2022,3304,CSCE,3
Computer Science (B.S),2021-2022,3311,CSCE,3
Computer Science (B.S),2021-2022,3312,CSCE,3
Computer Science (B.S),2021-2022,3313,CSCE,3
Computer Science (B.S),2021-2022,3601,CSCE,3
Computer Science (B.S),2021-2022,3611,CSCE,3
Computer Science (B.S),2021-2022,4301,CSCE,3
Computer Science (B.S),2021-2022,4302,CSCE,3
Computer Science (B.S),2021-2022,4303,CSCE,3
Computer Science (B.S),2021-2022,4313,CSCE,3
Computer Science (B.S),2021-2022,4314,CSCE,3
Computer Science (B.S),2021-2022,4315,CSCE,3
Computer Science (B.S),2021-2022,4411,CSCE,3
Computer Science (B.S),2021-2022,4421,CSCE,3
Computer Science (B.S),2021-2022,4501,CSCE,3
Computer Science (B.S),2021-2022,4502,CSCE,3
Computer Science (B.S),2021-2022,4603,CSCE,3
Computer Science (B.S),2021-2022,4604,CSCE,3
Computer Science (B.S),2021-2022,4621,CSCE,3
Computer Science (B.S),2021-2022,4701,CSCE,3
Computer Science (B.S),2021-2022,4702,CSCE,3
Computer Science (B.S),2021-2022,4910,CSCE,3
Computer Science (B.S),2021-2022,4930,CSCE,3
Computer Science (B.S),2021-2022,2141,MACT,3
Computer Science (B.S),2021-2022,3143,MACT,3
Computer Science (B.S),2021-2022,4133,MACT,3
Computer Science (B.S),2021-2022,4134,MACT,3
Computer Science (B.S),2021-2022,4135,MACT,3
Computer Science (B.S),2021-2022,4212,MACT,3
Computer Science (B.S),2021-2022,1121,MACT,4
Computer Science (B.S),2021-2022,1122,MACT,4
Computer Science (B.S),2021-2022,2123,MACT,4
Computer Science (B.S),2021-2022,2131,MACT,4
Computer Science (B.S),2021-2022,2132,MACT,4
Computer Science (B.S),2021-2022,3211,MACT,4
Computer Science (B.S),2021-2022,3223,MACT,4
Computer Science (B.S),2021-2022,1011,PHYS,4
Computer Science (B.S),2021-2022,1012,PHYS,4
Computer Science (B.S),2021-2022,1021,PHYS,4
Computer Science (B.S),2021-2022,1022,PHYS,4
Computer Engineering (B.S),2021-2022,1001,CSCE,2
Computer Engineering (B.S),2021-2022,1101,CSCE,2
Computer Engineering (B.S),2021-2022,1102,CSCE,2
Computer Engineering (B.S),2021-2022,2202,CSCE,2
Computer Engineering (B.S),2021-2022,2203,CSCE,2
Computer Engineering (B.S),2021-2022,2301,CSCE,2
Computer Engineering (B.S),2021-2022,2302,CSCE,2
Computer Engineering (B.S),2021-2022,2303,CSCE,2
Computer Engineering (B.S),2021-2022,2501,CSCE,2
Computer Engineering (B.S),2021-2022,3301,CSCE,2
Computer Engineering (B.S),2021-2022,3302,CSCE,2
Computer Engineering (B.S),2021-2022,3303,CSCE,2
Computer Engineering (B.S),2021-2022,3304,CSCE,2
Computer Engineering (B.S),2021-2022,3312,CSCE,2
Computer Engineering (B.S),2021-2022,3313,CSCE,2
Computer Engineering (B.S),2021-2022,3401,CSCE,2
Computer Engineering (B.S),2021-2022,3402,CSCE,2
Computer Engineering (B.S),2021-2022,3611,CSCE,2
Computer Engineering (B.S),2021-2022,3701,CSCE,2
Computer Engineering (B.S),2021-2022,4301,CSCE,2
Computer Engineering (B.S),2021-2022,4302,CSCE,2
Computer Engineering (B.S),2021-2022,4411,CSCE,2
Computer Engineering (B.S),2021-2022,4950,CSCE,2
Computer Engineering (B.S),2021-2022,4980,CSCE,2
Computer Engineering (B.S),2021-2022,4981,CSCE,2
Computer Engineering (B.S),2021-2022,3101,CSCE,3
Computer Engineering (B.S),2021-2022,3102,CSCE,3
Computer Engineering (B.S),2021-2022,3103,CSCE,3
Computer Engineering (B.S),2021-2022,3104,CSCE,3
Computer Engineering (B.S),2021-2022,3311,CSCE,3
Computer Engineering (B.S),2021-2022,3601,CSCE,3
Computer Engineering (B.S),2021-2022,4101,CSCE,3
Computer Engineering (B.S),2021-2022,4201,CSCE,3
Computer Engineering (B.S),2021-2022,4303,CSCE,3
Computer Engineering (B.S),2021-2022,4313,CSCE,3
Computer Engineering (B.S),2021-2022,4314,CSCE,3
Computer Engineering (B.S),2021-2022,4315,CSCE,3
Computer Engineering (B.S),2021-2022,4421,CSCE,3
Computer Engineering (B.S),2021-2022,4501,CSCE,3
Computer Engineering (B.S),2021-2022,4502,CSCE,3
Computer Engineering (B.S),2021-2022,4602,CSCE,3
Computer Engineering (B.S),2021-2022,4603,CSCE,3
Computer Engineering (B.S),2021-2022,4621,CSCE,3
Computer Engineering (B.S),2021-2022,4701,CSCE,3
Computer Engineering (B.S),2021-2022,4702,CSCE,3
Computer Engineering (B.S),2021-2022,4910,CSCE,3
Computer Engineering (B.S),2021-2022,4930,CSCE,3
Computer Engineering (B.S),2021-2022,4103,ECNG,3
Computer Engineering (B.S),2021-2022,4930,ECNG,3
Computer Engineering (B.S),2021-2022,3143,MACT,3
Computer Engineering (B.S),2021-2022,4133,MACT,3
Computer Engineering (B.S),2021-2022,4134,MACT,3
Computer Engineering (B.S),2021-2022,4135,MACT,3
Computer Engineering (B.S),2021-2022,4212,MACT,3
Computer Engineering (B.S),2021-2022,3201,MGMT,3
Computer Engineering (B.S),2021-2022,1005,CHEM,5
Computer Engineering (B.S),2021-2022,1015,CHEM,5
Computer Engineering (B.S),2021-2022,1001,ENGR,5
Computer Engineering (B.S),2021-2022,1005,ENGR,5
Computer Engineering (B.S),2021-2022,2102,ENGR,5
Computer Engineering (B.S),2021-2022,2104,ENGR,5
Computer Engineering (B.S),2021-2022,3202,ENGR,5
Computer Engineering (B.S),2021-2022,3222,ENGR,5
Computer Engineering (B.S),2021-2022,1121,MACT,5
Computer Engineering (B.S),2021-2022,1122,MACT,5
Computer Engineering (B.S),2021-2022,2123,MACT,5
Computer Engineering (B.S),2021-2022,2131,MACT,5
Computer Engineering (B.S),2021-2022,2132,MACT,5
Computer Engineering (B.S),2021-2022,2141,MACT,5
Computer Engineering (B.S),2021-2022,3211,MACT,5
Computer Engineering (B.S),2021-2022,3223,MACT,5
Computer Engineering (B.S),2021-2022,1011,PHYS,5
Computer Engineering (B.S),2021-2022,1012,PHYS,5
Computer Engineering (B.S),2021-2022,1021,PHYS,5
Computer Engineering (B.S),2021-2022,1022,PHYS,5
Computer Engineering (B.S),2021-2022,2211,PHYS,5
Computer Engineering (B.S),2021-2022,2213,PHYS,5
